morph,llength,lwidth,elevation,lat,larea
micranthum,-0.9942522733438669,-1.701005105959591,1.128,43.7447,-2.936821854573948
micranthum,-0.3285040669720361,-1.8325814637483102,1.128,43.7447,-2.4026500059908367
micranthum,-1.2378743560016174,-2.2072749131897207,1.128,43.7447,-3.6867137444618288
micranthum,-0.9808292530117262,-2.1413169453979233,1.128,43.7447,-3.3637106736801403
micranthum,-1.0498221244986778,-2.0794415416798357,1.128,43.7447,-3.370828141449004
micranthum,-0.8285851506916907,-1.6607312068216509,1.128,43.7447,-2.730880832783832
micranthum,-1.2729656758128873,-2.0402208285265546,1.128,43.7447,-3.5547509796099326
micranthum,-1.003302107954694,-1.6433394658339198,1.128,43.7447,-2.888206049059104
micranthum,-0.781978394266561,-1.448169764837978,1.128,43.7447,-2.4717126343750295
nevadense,-0.1743533871447778,-1.2039728043259361,2.773,41.668737,-1.619890666741204
nevadense,-0.046043938501406846,-1.155182640156504,2.773,41.668737,-1.4427910539284012
nevadense,-0.07904320734045285,-1.2241755116434554,2.773,41.668737,-1.5447831942543988
nevadense,-0.342490308946776,-1.1086626245216111,2.773,41.668737,-1.6927174087388777
nevadense,-0.18032355413128162,-1.2378743560016174,2.773,41.668737,-1.6597623854033896
nevadense,-0.2921364223547327,-1.2494351772399026,2.773,41.668737,-1.783136074865126
nevadense,0.23375373016237308,-0.8835009098576158,2.773,41.668737,-0.8913116549657332
nevadense,0.003327789760448805,-1.0309536392597154,2.773,41.668737,-1.2691903247697571
nevadense,0.17395330712343798,-0.8498009906053222,2.773,41.668737,-0.9174121587523747
nevadense,0.10436001532424286,-1.2729656758128873,2.773,41.668737,-1.410170135759135
nevadense,0.0368139731227164,-1.0936247471570706,2.773,41.668737,-1.2983752493048446
nevadense,-0.4193105149302175,-1.071483621279857,2.773,41.668737,-1.732358611480565
occidentale_lacustre,1.144222799920162,-1.2039728043259361,0.403,47.675918,-0.30131447967626457
occidentale_lacustre,0.8878912573524571,-0.4155154439616658,0.403,47.675918,0.23081133812030077
occidentale_lacustre,0.9516578757114463,-1.2039728043259361,0.403,47.675918,-0.49387940388498025
occidentale_lacustre,1.1463436915952319,-0.5504908795803873,0.403,47.675918,0.35428833674435395
occidentale_lacustre,1.007045095142619,-1.2123410539964528,0.403,47.675918,-0.446860434124324
occidentale_lacustre,0.9657156153285815,-0.9330978510379939,0.403,47.675918,-0.20894671097990283
occidentale_lacustre,1.1096621247448044,-0.9675840262617056,0.403,47.675918,-0.09948637678739153
occidentale_lacustre,1.1593937609279688,-1.0106014113453965,0.403,47.675918,-0.09277212568791811
occidentale_lacustre,0.5863968106130647,-0.8855190732074014,0.403,47.675918,-0.5406867378648272
occidentale_lacustre,1.6054298910365616,-0.7657178733947807,0.403,47.675918,0.5981475423712905
occidentale_lacustre,0.6151856390902335,-1.2819343457956478,0.403,47.675918,-0.9083131819759048
occidentale_lacustre,0.8424288832756998,-1.1457038962019601,0.403,47.675918,-0.544839488196751
occidentale_lacustre,0.8408485365635151,-1.2729656758128873,0.403,47.675918,-0.6736816145198626
occidentale_lacustre,0.9802040576178078,-0.6881596390489063,0.403,47.675918,0.050479943298410955
occidentale_lacustre,0.85356390196585,-1.3167682984712803,0.403,47.675918,-0.7047688717759207
occidentale_lacustre,1.0018566200814027,-0.7621400513326111,0.403,47.675918,-0.0018479065216988422
